Description,Price,Rating,Review Count,Product URL
"realme narzo 50 (Speed Blue, 6GB RAM+128GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display","15,499",4.2 out of 5 stars,"17,476",https://www.amazon.in//realme-Storage-Processor-Triple-Display/dp/B09RN24CY6/ref=sr_1_60?keywords=mobile&qid=1689966095&sr=8-60
"Oppo A78 5G (Glowing Blue, 8GB RAM, 128 Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger| 50MP AI Camera | 90Hz Refresh Rate | with No Cost EMI/Additional Exchange Offers","18,999",4.1 out of 5 stars,"1,713",https://www.amazon.in//Oppo-Glowing-SUPERVOOC-Additional-Exchange/dp/B082F2T5PQ/ref=sr_1_61?keywords=mobile&qid=1689966095&sr=8-61
realme narzo 50i Prime (Dark Blue 3 GB RAM +32 GB Storage) Octa-core Processor | 5000 mAh Battery,"6,699",4.0 out of 5 stars,"5,484",https://www.amazon.in//realme-Storage-Octa-core-Processor-Battery/dp/B0BBMGZ5T4/ref=sr_1_62?keywords=mobile&qid=1689966095&sr=8-62
"Samsung Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","12,999",4.1 out of 5 stars,"24,666",https://www.amazon.in//Samsung-Stardust-Storage-6000mAh-Battery/dp/B0B4F2ZWL3/ref=sr_1_63?keywords=mobile&qid=1689966095&sr=8-63
"Oppo A17 (Lake Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","12,499",4.1 out of 5 stars,364,https://www.amazon.in//Oppo-Storage-Additional-Exchange-Offers/dp/B0BMQS9NVT/ref=sr_1_64?keywords=mobile&qid=1689966095&sr=8-64
"Nokia C12 Android 12 (Go Edition) Smartphone, All-Day Battery, 4GB RAM (2GB RAM + 2GB Virtual RAM) + 64GB Capacity | Dark Cyan","5,699",3.1 out of 5 stars,946,https://www.amazon.in//Nokia-Android-Smartphone-All-Day-Capacity/dp/B0BW5SQX18/ref=sr_1_33?keywords=mobile&qid=1689966095&sr=8-33
"iQOO Z7s 5G by vivo (Norway Blue, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","19,999",4.1 out of 5 stars,"6,586",https://www.amazon.in//iQOO-Storage-Snapdragon-Processor-44WFlashCharge/dp/B07WFNTGLL/ref=sr_1_34?keywords=mobile&qid=1689966095&sr=8-34
"realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","19,999",3.8 out of 5 stars,87,https://www.amazon.in//realme-Display-Premium-Leather-SUPERVOOC/dp/B0C787P8BV/ref=sr_1_35?keywords=mobile&qid=1689966095&sr=8-35
"Redmi 12C (Royal Blue, 6GB RAM, 128GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","10,499",3.9 out of 5 stars,"3,212",https://www.amazon.in//Redmi-Storage-Performance-Mediatek-Display/dp/B0BYN1GM6V/ref=sr_1_36?keywords=mobile&qid=1689966095&sr=8-36
Nokia C22 | 3-Day Battery Life | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 13 MP Dual Rear AI Camera with Night & Portrait Mode | IP52 | Purple,"7,999",4.1 out of 5 stars,135,https://www.amazon.in//Nokia-Battery-Virtual-Camera-Portrait/dp/B0C4PX2J4B/ref=sr_1_37?keywords=mobile&qid=1689966095&sr=8-37
"Samsung Galaxy A14 5G (Black, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger","17,999",3.8 out of 5 stars,495,https://www.amazon.in//Samsung-Galaxy-Storage-Without-Charger/dp/B0BS17PKHQ/ref=sr_1_38?keywords=mobile&qid=1689966095&sr=8-38
realme narzo 50i Prime (Dark Blue 3 GB RAM +32 GB Storage) Octa-core Processor | 5000 mAh Battery,"6,699",4.0 out of 5 stars,"5,484",https://www.amazon.in//realme-Storage-Octa-core-Processor-Battery/dp/B0BBMGZ5T4/ref=sr_1_39?keywords=mobile&qid=1689966095&sr=8-39
Apple iPhone 14 (128 GB) - Starlight,"66,999",4.5 out of 5 stars,"1,929",https://www.amazon.in//Apple-iPhone-14-128GB-Starlight/dp/B0BDK8LKPJ/ref=sr_1_40?keywords=mobile&qid=1689966095&sr=8-40
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","9,499",3.9 out of 5 stars,"8,417",https://www.amazon.in//Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGC6LHP/ref=sr_1_41?keywords=mobile&qid=1689966095&sr=8-41
"realme narzo 60 5G (Mars Orange,8GB+128GB) 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","17,999",3.8 out of 5 stars,87,https://www.amazon.in//realme-Display-Premium-Leather-SUPERVOOC/dp/B0C788SHHC/ref=sr_1_42?keywords=mobile&qid=1689966095&sr=8-42
"Redmi Note 11 (Space Black, 4GB RAM, 64GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included","13,499",4.1 out of 5 stars,"58,045",https://www.amazon.in//Redmi-Storage-Qualcomm%C2%AE-SnapdragonTM-Included/dp/B09QS8V5N8/ref=sr_1_43?keywords=mobile&qid=1689966095&sr=8-43
"Redmi A2 (Aqua Blue, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","7,299",3.8 out of 5 stars,"1,316",https://www.amazon.in//Redmi-Storage-Powerful-Processor-Warranty/dp/B0C46GD5V7/ref=sr_1_44?keywords=mobile&qid=1689966095&sr=8-44
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)","13,999",4.2 out of 5 stars,"307,954",https://www.amazon.in//Samsung-Galaxy-Space-Black-Storage/dp/B07HGJ7WLM/ref=sr_1_45?keywords=mobile&qid=1689966095&sr=8-45
"Lava Blaze 5G (Glass Blue, 6GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 11GB Expandable RAM | Charger Included | Clean Android (No Bloatware)","11,999",4.0 out of 5 stars,"5,277",https://www.amazon.in//Lava-Blaze-5G-Blue-Expandable/dp/B0BSTTK7HS/ref=sr_1_46?keywords=mobile&qid=1689966095&sr=8-46
"realme narzo 60 5G (Cosmic Black,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger","19,999",3.8 out of 5 stars,87,https://www.amazon.in//realme-Cosmic-Display-SUPERVOOC-Charger/dp/B0C78B7KQH/ref=sr_1_47?keywords=mobile&qid=1689966095&sr=8-47
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box","14,499",4.0 out of 5 stars,"12,514",https://www.amazon.in//iQOO-Stellar-Snapdragon-Segment-Included/dp/B07WHSR1NR/ref=sr_1_48?keywords=mobile&qid=1689966095&sr=8-48
"Tecno Spark 8 Pro (Interstellar Black, 4GB RAM,64GB Storage) | 48MP Triple Camera | 33W Fast Charger","8,099",4.1 out of 5 stars,"5,708",https://www.amazon.in//Tecno-Spark-Pro-Interstellar-64GB/dp/B09MWCWRMP/ref=sr_1_97?keywords=mobile&qid=1689966095&sr=8-97
"Motorola Edge 20 Fusion (128 GB) (8 GB RAM) (8, Cyber Teal, New)","24,750",3.9 out of 5 stars,51,https://www.amazon.in//MOTOROLA-Edge-Fusion-Cyber-Teal/dp/B09HV4FZGV/ref=sr_1_98?keywords=mobile&qid=1689966095&sr=8-98
"Redmi A2+ (Classic Black, 4GB RAM, 64GB Storage) | Upto 7GB RAM | Octa Core Processor | Fingerprint Scanner | 2 Years Warranty [Limited time Offer]","7,999",3.8 out of 5 stars,"1,316",https://www.amazon.in//Redmi-Classic-Processor-Fingerprint-Warranty/dp/B0C53Y91FJ/ref=sr_1_99?keywords=mobile&qid=1689966095&sr=8-99
"Itel A60s (4GB RAM + 64GB ROM, Up to 8GB RAM with Memory Fusion | 8MP AI Rear Camera | 5000mAh Battery with 10W Charging | Faceunlock & Fingerprint - Moonlit Violet","6,299",3.1 out of 5 stars,6,https://www.amazon.in//Itel-5000mAh-Charging-Faceunlock-Fingerprint/dp/B0C8W9727Z/ref=sr_1_100?keywords=mobile&qid=1689966095&sr=8-100
Apple iPhone 12 (256GB) - Black,"66,999",4.5 out of 5 stars,"31,069",https://www.amazon.in//New-Apple-iPhone-12-256GB/dp/B08L5SXX3J/ref=sr_1_101?keywords=mobile&qid=1689966095&sr=8-101
"IKALL Z19 Pro Ultra Smartphone (6GB, 128GB) | 6.5 Inch HD+ Display | Fast Charging (Champagne)","8,799",5.0 out of 5 stars,1,https://www.amazon.in//IKALL-Z19-Pro-Ultra-Smartphone/dp/B0CBMW1B63/ref=sr_1_102?keywords=mobile&qid=1689966095&sr=8-102
"Samsung Galaxy M30s (Quartz Green, 6GB RAM, 128GB Storage)","16,999",4.2 out of 5 stars,"247,368",https://www.amazon.in//Test-Exclusive-637/dp/B07HG8SBG3/ref=sr_1_103?keywords=mobile&qid=1689966095&sr=8-103
"Itel P40+ (4GB RAM+128GB ROM, 8GB* RAM with Memory Fusion | 13MP AI Rear Camera | 7000mAh Battery with 18W Fast Charging | 6.8"" HD+ IPS Punch Hole 90Hz Diplay | Faceunlock & Fingerprint - Ice Cyan","8,099",4.4 out of 5 stars,6,https://www.amazon.in//Itel-7000mAh-Charging-Faceunlock-Fingerprint/dp/B0C8VZ2JM5/ref=sr_1_104?keywords=mobile&qid=1689966095&sr=8-104
IKALL S1 Smartphone 17.27 cm (6.8 inch) HD+ Display | 6GB RAM Plus 6BG Virtual RAM | 128BG Storage Android 13.0 with 1.6 Ghz Octa Core with Triple Real Camera (Purple),"9,990",5.0 out of 5 stars,2,https://www.amazon.in//IKALL-S1-Smartphone-Display-Virtual/dp/B0CB3X9QGS/ref=sr_1_105?keywords=mobile&qid=1689966095&sr=8-105
"Redmi A2 (Aqua Blue, 2GB RAM, 64GB Storage)","6,499",3.8 out of 5 stars,"1,316",https://www.amazon.in//Redmi-Aqua-Blue-64GB-Storage/dp/B0C74LZSQB/ref=sr_1_106?keywords=mobile&qid=1689966095&sr=8-106
CAUL Dual sim Keypad Mobile Phone with Wireless FM Radio Memory Card Slot Battery 1000 Green | C22GREEN,999,,M.R.P: ,https://www.amazon.in//CAUL-Keypad-Wireless-Battery-C22GREEN/dp/B0BZLNC4PG/ref=sr_1_107?keywords=mobile&qid=1689966095&sr=8-107
"Nokia C31, 6.74” HD+ Display, 13+2+2 MP Rear & 5MP Front Google Camera, 3-Day Battery Life, Android 12 | Charcoal, 3+32GB","6,499",3.2 out of 5 stars,108,https://www.amazon.in//Nokia-Display-Battery-Android-Charcoal/dp/B0BM4JW283/ref=sr_1_108?keywords=mobile&qid=1689966095&sr=8-108
"for Moto G42,16.25 cm (6.4 Inch) FHD+ Ultra-Wide OLED Display,50MP + 8MP + 2MP Back Camera Dual Stereo Dolby (4 GB RAM 64 GB ROM (Metallic Rose)","14,999",3.3 out of 5 stars,3,https://www.amazon.in//Ultra-Wide-Display-Camera-Stereo-Metallic/dp/B0C24Q5GTW/ref=sr_1_109?keywords=mobile&qid=1689966095&sr=8-109
"Motorola E7 Power (Tahiti Blue, 64 GB) (4 GB RAM)","9,310",3.9 out of 5 stars,628,https://www.amazon.in//Motorola-Power-Tahiti-Blue-RAM/dp/B08XQYFBM7/ref=sr_1_110?keywords=mobile&qid=1689966095&sr=8-110
"Tecno Spark 10 5G (Meta Blue, 8GB RAM,128GB Storage)|16GB Expandable RAM | Ultra Clear 50MP Superior Rear Camera| Dimensity 6020 7nm Powerful 5G Processor","13,999",3.4 out of 5 stars,32,https://www.amazon.in//Tecno-Expandable-Superior-Dimensity-Processor/dp/B0C14LT8S7/ref=sr_1_111?keywords=mobile&qid=1689966095&sr=8-111
"Motorola Moto G5 Plus (32GB, Lunar Grey)","8,500",4.2 out of 5 stars,"4,805",https://www.amazon.in//Moto-Plus-32GB-Lunar-Grey/dp/B06XRKQSY7/ref=sr_1_112?keywords=mobile&qid=1689966095&sr=8-112
